time,route_id,full_time,Node1_time,pack_time,Node2_time
0,0,2.8606846,0.96655333,0.9293351,0.96479607
0,1,2.9747205,1.0932815,0.98901206,0.89242667
0,2,2.9604256,1.1040783,0.90975094,0.94659615
0,3,2.808289,0.9600366,0.9298751,0.9183774
0,4,2.820126,0.976954,0.9448064,0.8983657
0,5,2.827258,0.9152972,0.93057454,0.9813862
0,6,2.7879002,0.8836414,0.9534087,0.9508499
0,7,2.8080273,0.909332,0.9332243,0.96547097
0,8,2.799265,0.90560377,0.9302576,0.96340334
0,9,2.8444183,0.93977225,0.94765913,0.9569868
0,10,2.850528,0.9910401,0.95164776,0.9078398
0,11,2.8556848,1.0005263,0.92303836,0.93211985
0,12,2.8537753,0.8726306,0.9343584,1.0467862
0,13,2.860108,0.89597434,0.9255214,1.0386121
0,14,2.8570867,0.99218166,0.9359461,0.9289587
0,15,2.8426127,0.9431661,0.94278175,0.9566649
0,16,2.817265,0.8388921,0.92526025,1.0531125
0,17,2.8753798,0.9043838,0.9455077,1.0254881
0,18,2.8714592,0.9545636,0.93023837,0.98665726
0,19,2.7981176,0.868616,0.9343978,0.99510366
0,20,2.812509,0.9488503,0.9295001,0.9341587
0,21,2.8599982,1.0151497,0.92009413,0.9247543
0,22,2.8262982,0.8601691,0.93064386,1.0354853
0,23,2.7838051,0.8924597,0.9461768,0.9451684
0,24,2.78839,0.92189676,0.9400522,0.926441
0,25,2.8237834,1.0638416,0.9423588,0.8175831
0,26,2.8460693,1.0376729,0.9268505,0.8815459
0,27,2.8571644,0.86636764,0.94400084,1.0467958
0,28,2.8457,0.95661485,0.9313189,0.9577662
0,29,2.8235068,0.88388455,0.9172757,1.0223466
0,30,2.8194113,0.9746752,0.9499655,0.8947705
0,31,2.7966805,0.8607302,0.9767617,0.95918834
0,32,2.865592,0.93555737,0.93637264,0.9936619
0,33,2.797089,0.8905824,0.9343993,0.9721075
0,34,2.8633752,1.0049934,0.90753174,0.9508499
0,35,2.8570116,1.0325154,0.92237693,0.90211904
0,36,2.8698716,0.8308668,0.91550416,1.1235006
0,37,2.8577783,1.0311803,0.9460413,0.8805567
0,38,2.7827475,0.99717027,0.89678687,0.8887903
0,39,2.865232,1.0066122,0.9449954,0.9136241
0,40,2.8698668,0.9006159,0.93937814,1.0298727
0,41,2.8400793,1.0010928,0.9210265,0.91795987
0,42,2.848024,0.9373226,0.92404395,0.98665726
0,43,2.8715403,0.95201576,0.93599385,0.9835304
0,44,2.8600636,1.0326574,0.9386157,0.8887903
0,45,2.7546291,0.86622125,0.945354,0.9430539
0,46,2.853273,0.9760768,0.9187306,0.95846546
0,47,2.83496,0.9117252,0.9308937,0.9923409
0,48,2.7861104,0.95126724,0.94605255,0.8887903
0,49,2.8091302,0.9684631,0.93042135,0.9102457
0,50,2.8668714,1.0102901,0.90998507,0.94659615
0,51,2.810406,0.82065284,0.9607875,1.0289655
0,52,2.8566024,0.99762976,0.91638964,0.94258296
0,53,2.811405,0.97465724,0.9292672,0.9074804
0,54,2.806907,0.81201494,0.9256607,1.0692313
0,55,2.8077426,0.95813483,0.9352703,0.91433716
0,56,2.8610845,0.9033696,0.9411144,1.0166004
0,57,2.8974347,1.0229414,0.90493774,0.9695554
0,58,2.8392472,0.9199794,0.94618046,0.9730873
0,59,2.8672361,1.0561178,0.9173771,0.8937413
0,60,2.833663,0.9338956,0.92667997,0.9730873
0,61,2.7744846,0.81965894,0.9515317,1.0032938
0,62,2.8348207,0.93453705,0.92753255,0.972751
0,63,2.872143,0.9650594,0.9035428,1.0035406
0,64,2.8426216,0.9123682,0.92903537,1.0012178
0,65,2.8563452,1.049686,0.94977266,0.8568864
0,66,2.79095,0.9157141,0.96775544,0.9074804
0,67,2.8459716,0.88677627,0.92904127,1.030154
0,68,2.8459487,1.0444298,0.92142296,0.88009596
0,69,2.9273748,1.0730684,0.96187955,0.89242667
